time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
3,0.899999976,70,24.12701797,0.06361419,-79.78282429,40.45904308,264.6491157,0.016951712,-0.002747471,-0.72669208,0.686748743,0.002578977,-0.007033775,-0.00526907,-0.002267214,-0.000363087,0.002832443,0.264683371,-0.203712937,-9.802549478
3.1,0.899999976,68,24.1282692,0.039758869,-79.78282426,40.45904308,264.6430154,0.016950144,-0.002753999,-0.726699173,0.686741173,0.002033869,-0.004986298,-0.004449964,0.001694701,-0.001816473,-2.19E-05,0.270574751,-0.198607331,-9.806351922
3.3,0.800000012,65,24.1282692,0.031807095,-79.78282427,40.45904307,264.6425603,0.016948534,-0.002748855,-0.726706266,0.686733782,0.002388769,-0.004858341,-0.004257093,-0.002912125,0.003053135,0.003498234,0.266515669,-0.206080365,-9.801587611
3.4,0.800000012,65,24.12075615,0.039758869,-79.78282423,40.45904308,264.6374497,0.016964028,-0.00273191,-0.726689696,0.686750948,0.0018929,-0.002371362,-0.002860231,0.003847276,-0.002559867,0.004996927,0.266294443,-0.200739043,-9.80416097
3.6,0.699999988,60,24.12701797,0.055662416,-79.78282419,40.45904307,264.6328638,0.01697086,-0.00272189,-0.726677656,0.686763585,0.001015503,-0.000968467,-0.001700603,-0.002346632,0.00469887,-0.00065037,0.266913499,-0.208676291,-9.800960789
3.7,0.800000012,61,24.11950493,0.031807095,-79.78282419,40.45904307,264.6325421,0.016971281,-0.002686045,-0.726673901,0.686767697,0.001574394,-0.000592352,-0.001355185,-0.001082289,-0.00010564,0.006992223,0.265004694,-0.206378006,-9.802340147
3.9,0.699999988,59,24.1232605,0.047710642,-79.78282417,40.45904307,264.6282206,0.016972326,-0.0026791,-0.726660013,0.68678236,0.00111051,-0.003668911,-0.001207068,-0.002352433,-0.001970272,-0.00420713,0.268756633,-0.202253125,-9.802645957
4,0.600000024,60,24.1282692,0.039758869,-79.78282413,40.45904306,264.6258053,0.016974149,-0.002634097,-0.72665602,0.686786711,0.001596997,-0.001935151,0.002614326,-0.000537528,0.001557608,0.000667468,0.267017141,-0.207771325,-9.802541292
4.2,0.699999988,67,24.1232605,0.039758869,-79.78282413,40.45904306,264.6260568,0.016976057,-0.00262855,-0.726646543,0.686796725,0.001525413,-0.001729145,0.002499296,0.001577708,-0.003951196,-0.002121337,0.269693759,-0.198819932,-9.805561379
4.3,0.699999988,63,24.12451363,0.039758869,-79.7828241,40.45904303,264.6247931,0.016980618,-0.002628001,-0.726648211,0.686794817,0.006084296,-0.004316869,0.00602531,-0.001959251,-0.001587932,-0.007712232,0.268668084,-0.201089876,-9.802877507
4.5,0.600000024,69,24.12701797,0.031807095,-79.78282411,40.45904302,264.6253835,0.016980618,-0.002628001,-0.726648211,0.686794817,0.006484312,-0.003890065,0.006116798,0.002696601,-0.004035383,0.002037164,0.268215199,-0.199500109,-9.804744523
4.61,0.600000024,73,24.12075615,0.039758869,-79.78282406,40.45904299,264.6247525,0.016979843,-0.00262521,-0.726648986,0.686794043,0.008329583,-0.001480781,0.007426885,0.000975845,0.001039565,-0.008458956,0.27016784,-0.199701546,-9.804111269
4.7,0.699999988,80,24.11825371,0.015903547,-79.78282406,40.45904298,264.6254877,0.016979843,-0.00262521,-0.726648986,0.686794043,0.009189926,-0.00090348,0.007635041,0.003091287,-0.000507906,0.003220584,0.26561518,-0.20257706,-9.803628289
4.9,0.699999988,85,24.1232605,0.023855321,-79.78282399,40.45904299,264.6229424,0.016971257,-0.002631233,-0.726649761,0.686793506,0.000928027,0.000236686,0.003912468,0.001739948,0.001535501,-0.000904743,0.269931996,-0.199348283,-9.805129854
5.1,0.899999976,94,24.1282692,0.055662416,-79.78282392,40.45904297,264.6224916,0.016968746,-0.002628411,-0.72664988,0.686793447,0.001261802,0.003016718,0.005331597,-0.004005048,0.005719807,0.004329476,0.267135584,-0.205706764,-9.802540707
5.2,0.899999976,99,24.1282692,0.015903547,-79.78282391,40.45904297,264.623576,0.016969357,-0.002628973,-0.726650894,0.686792374,0.001826775,0.003631513,0.00554553,0.000544049,-0.000806247,0.003930127,0.265587113,-0.202201852,-9.803605485
5.4,1,108,24.1282692,0.06361419,-79.78282385,40.45904295,264.6239678,0.01696863,-0.002629577,-0.726651967,0.686791241,0.001553945,0.00335962,0.006978485,-0.001037202,6.20E-05,-0.002173578,0.270896239,-0.205143202,-9.803153495
5.5,1.100000024,106,24.12451363,0.039758869,-79.7828238,40.45904292,264.6254953,0.016971946,-0.002633224,-0.726652086,0.686791003,0.002028655,-0.00155908,0.008612991,-0.00161916,0.00171026,0.005275752,0.267318181,-0.205416395,-9.801968265
